NO,공통표준단어명,공통표준단어영문약어명,공통표준단어영문명,공통표준단어설명,이음동의어목록,금칙어목록
145,주민,RRNO,Resident,住民登錄番號. 주민등록을 할 때 국가에서 국민에게 부여하는 고유번호,,
,등록,,Registration Number,,,
,번호,,,,,
146,준공,CMCN,Completion of,竣工. 공사를 다 마침,,
,,,Construction,,,
147,중복,DPCN,Duplication,重複. 거듭하거나 겹침,,
148,지급,GIVE,Give,支給. 돈이나 물품 따위를 정하여진 몫만큼 내줌,,
149,지정,DSGN,Designation,指定. 가리키어 확실하게 정함,,
150,지하,UDGD,Underground,地下. 땅속이나 땅속을 파고 만든 구조물의 공간,,
151,집계,TOT,Total,集計. 이미 된 계산들을 한데 모아서 계산함. 또는 그런 계산,,
152,착공,BGNCST,Begin Construction,着工. 공사를 시작함,,
153,참석,ATND,Attendance,參席. 모임이나 회의 따위의 자리에 참여함,,
154,처리,PRCS,Process,處理. 사무나 사건 따위를 절차에 따라 정리하여 치르거나 마무리를 지음,,
155,처분,DSPS,Disposition,"處分. 일정한 대상을 어떻게 처리할 것인가에 대하여 지시하거나 결정함. 또는 그런 지시나 결정. 행정 주체가 구체적 사실에 관한 법집행으로서 행하는 공법 행위 가운데 권력적 단독 행위. 영업 면허, 공기업의 특허, 조세의 부과 따위.",,
156,첨부,ATCH,Attachment,添附. 안건이나 문서 따위를 덧붙임,,
157,청구,CLM,Claim,請求. 상대편에 대하여 일정한 행위나 급부를 요구하는 일,,
158,최종,LAST,Last,最終. 맨 나중,,
159,최초,FRST,First,最初. 맨 처음,,
160,추출,EXTR,Extraction,"抽出. 전체 속에서 어떤 물건, 생각, 요소 따위를 뽑아냄. 모집단(母集團)에서 표본을 뽑아내는 일",,
161,출력,OTPT,Output,出力. 컴퓨터 따위의 기기(機器)나 장치가 입력을 받아 일을 하고 외부로 결과를 내는 일. 또는 그 결과,,
162,출생,BRTH,Birth,出生. 세상에 나옴,,
163,취득,ACQS,Acquisition,取得. 자기 것으로 만들어 가짐,,
164,취소,RTRCN,Retraction,取消. 발표한 의사를 거두어들이거나 예정된 일을 없애 버림. 일단 유효하게 성립한 법률 행위의 효력을 소급하여 소멸하는 의사 표시,,
165,탈퇴,WHDWL,Withdrawal,脫退. 관계하고 있던 조직이나 단체 따위에서 관계를 끊고 물러남,,
166,통계,STATS,Statistics,統計. 한데 몰아서 어림잡아 계산함. 어떤 현상을 종합적으로 한눈에 알아보기 쉽게 일정한 체계에 따라 숫자로 나타냄,,
167,통보,NTFCTN,Notification,通報. 통지하여 보고함. 또는 그 보고,,
168,통지,AVTSMT,Avertissement,通知. 기별을 보내어 알게 함,,
169,퇴직,RTRM,Retirement,退職. 현직에서 물러남,,
170,파일,FILE,File,여러 가지 서류를 한데 모아 매어 두게 만든 도구. 또는 그렇게 매어 둔 묶음. 하나의 단위로서 처리되는 서로 관련 있는 레코드의 집합,,"화일,  FILE"
171,판정,JGMT,Judgement,判定. 판별하여 결정함,,
172,팝업,POPUP,Popup,"축적되어 있는 데이터 중 가장 위에 있는 데이터를 꺼내는 것. (‘팝업메뉴’, ‘팝업창’의 약칭)　 ","팝업창, 팝업메뉴",
173,평가,EVL,Evaluation,評價. 사물의 가치나 수준 따위를 평함. 또는 그 가치나 수준,,
174,폐기,DSCD,Discard,廢棄. 못 쓰게 된 것을 버림,,
175,폐쇄,CLSG,Closing,閉鎖. 문 따위를 닫아걸거나 막아 버림. 기관이나 시설을 없애거나 기능을 정지함,,
176,폐업,CLSBIZ,Closing of Business,廢業. 직업이나 영업을 그만둠,,
177,폐지,ABL,Abolition,"廢止. 실시하여 오던 제도나 법규, 일 따위를 그만두거나 없앰",,
178,표시,INDCT,Indication,表示. 겉으로 드러내 보임. 標示. 표를 하여 외부에 드러내 보임,,
179,필수,ESNTL,Essential,必需. 반드시 있어야 함. 또는 반드시 쓰임,,
180,합격,PASS,Pass,"合格. 시험, 검사, 심사 따위에서 일정한 조건을 갖추어 어떠한 자격이나 지위 따위를 얻음",,
181,해당,RLVT,Relevant,"該當. 무엇에 관계되는 바로 그것, 어떤 범위나 조건 따위에 바로 들어맞음",,
182,해제,RMV,Remove,解除. 설치했거나 장비한 것 따위를 풀어 없앰. 묶인 것이나 행동에 제약을 가하는 법령 따위를 풀어 자유롭게 함,,
183,해지,CNCLTN,Cancellation,解止. 계약 당사자 한쪽의 의사 표시에 의하여 계약에 기초한 법률관계를 말소하는 것,,
184,허가,PRMSN,Permission,"許可. 행동이나 일을 하도록 허용함, 법령에 의하여 일반적으로 금지되어 있는 행위를 행정기관이 특정한 경우에 해제하고 적법하게 이를 행할 수 있게 하는 일",,
185,확인,IDNTY,Identify,確認. 틀림없이 그러한가를 알아보거나 인정함. 또는 그런 인정,,
186,확정,CFMTN,Confirmation,確定. 일을 확실하게 정함,,
187,회계연도,FYR,Fiscal Year,"會計年度. 정부가 회계 상 또는 예산 상 재무제표를 계산하는 데 사용하는 기간으로, 매년 1월 1일에 시작하여 12월 31일에 종료",,
188,회사,CO,Company,會社. 상행위 또는 그 밖의 영리 행위를 목적으로 하는 사단 법인,,
189,회신,RPLY,Reply,"回信. 편지, 전신, 전화 따위로 회답을 함",,
190,회의,MTG,Meeting,會議. 어떤 사항을 여럿이 모여 의논함,,
191,휴대,MBL,Mobile,携帶. 손에 들거나 몸에 지니고 다님,,
192,휴업,TCBIZ,Temporary Close,"休業. 사업이나 영업, 작업 따위를 일시적으로 중단하고 하루 또는 한동안 쉼",,
,,,of Business,,,
193,휴일,HLDY,Holiday,休日. 일요일이나 공휴일 따위의 일을 하지 아니하고 쉬는 날,,쉬는날
194,HTML,HTML,Hypertext  Markup Language,하이퍼링크를 사용하는 컴퓨터 언어. 홈페이지 제작에 주로 사용하는 언어로 표시가 있는 글을 선택하면 그것과 연결되어 있는 내용을 보여 주거나 연결되어 있는 프로그램을 실행,,
195,SMS,SMS,Short Message Service,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 간단한 단문의 메시지를 주고 받을 수 있는 문자 서비스",,
