단어 명,물리 명,영문 명,금칙어
입금일자,DPSTDT,DEPOSIT DATE,입금일
입금자,DPSTPSN,DEPOSIT PERSON,
입금철생성구분코드,RMFCDCD,RECEIPTS OF MONEY FILE CREATION DIVISION CODE,
입당,JNPLTPT,JOINING A POLITICAL PARTY,
입량,IQNTY,INPUT QUANTITY,
입력,INPUT,INPUT,
입력선두,ILED,INPUT LEAD,
입력유형,ITYP,INPUT TYPE,
입력일자,INPUTDT,INPUT DATE,입력일
입력자,INPUTPSN,INPUT PERSON,입력인
입목,STDTR,STANDING TREE,
입목죽,STDTRBB,STANDING TREE AND BAMBOO,
입목죽종류코드,STBKCD,STANDING TREE AND BAMBOO KIND CODE,
입방,ARVRM,ARRIVAL THE ROOM,
입법,LGSLT,LEGISLATION,
입법권,LTVW,LEGISLATIVE POWER,
입사,ENTRCO,ENTERING A COMPANY,
입사일자,ENTCODT,ENTERING A COMPANY DATE,입사일
입석,STDRM,STANDING ROOM,
입소,ENTRC,ENTRANCE,
입소일자,ENTRCDT,ENTRANCE DATE,입소일
입수,OBTM,OBTAINMENT,
입수삭,IUD,INSERT UPDATE DELETE,
입술,LIP,LIP,
입양,ADP,ADOPTION,
입영,ENTSVC,ENTRY INTO SERVICE,입대
입영명령,EISORD,ENTRY INTO SERVICE ORDER,
입영일자,ENLMDT,ENLISTMENT DATE,"입대일,입대일자,입영일"
입영자,RECRT,RECRUIT,입대자
입영지,JTMAR,JOIN THE MILITARY AREA,
입원,HSPTLZ,HOSPITALIZATION,입실
입원계산순번,HZCALC,HOSPITALIZATION CALCULATION SEQUENCE,
입원기록지,ADMRD,ADMINISTRATION RECORD,
입원명령,HSPORD,HOSPITALIZATION ORDER,
입원방법,HSMTH,HOSPITALIZATION METHOD,
입원수납순번,HZRCTC,HOSPITALIZATION RECEIPTANCE SEQUENCE,
입원외래구분,IOTYPE,INPATIENT OUTPATIENT TYPE,
입원일자,HSPTDT,HOSPITALIZATION DATE,입원일
입원중간순번,HZMDTC,HOSPITALIZATION MIDDLE CALCULATION SEQUENCE,
입원지시,HINS,HOSPITALIZATION INSTRUCTIONS,
입자,PARTCL,PARTICLE,
입자폭풍,PTNSTM,PROTON STORM,
입장,ENTRNC,ENTRANCE,
입장,VWPNT,VIEWPOINT,
입장료,ADMFEE,ADMISSION FEE,
입적,ERLGR,ENTRY IN A FAMILY REGISTER,
입주,MVIN,MOVE IN,
입주형태코드,MVINSCD,MOVE IN SHAPE CODE,
입증책임,BFPF,BURDEN OF PROOF,
입차,ENTVHCL,ENTERANCE VEHICLES,
입찰,BDDNG,BIDDING,
입찰가격,BIDPRC,BIDDING PRICE,"입찰가,투찰가격,투찰가"
입찰공고,NTCTND,NOTICE OF TENDER,
입찰공고문,BBNT,BULLETIN BOARD FOR NOTICE OF TENDER,
입찰공고번호,BPANO,BIDDING PUBLIC ANNOUNCEMENT NUMBER,
입찰매체코드,BIDMDCD,BIDDING MEDIA CODE,
입찰보증금,BDBND,BID BOND,"입찰보증금액,입찰보증액"
입찰서,TNDR,TENDER,
입찰일자,BDNGDT,BIDDING DATE,입찰일
입찰자,BDDER,BIDDER,
입찰참가자격사전심사제,PQ,PRE QUALIFICATION,"PQ,사전입찰심사제도,사전심사"
입창,SIDPT,SETTING IN DEPOT,
입창일자,SIDPTDT,SETTING IN DEPOT DATE,입창일
입체,CBC,CUBIC,
입체시영상,EPIP,EPIPOLAR IMAGE,
입체영상,STEREO,STEREOSCOPIC,
입출,INCDSBS,INCOME AND DISBURSEMENT,수지
입출고,WRHSRLS,WAREHOUSING AND RELEASE,
입출고번호,WNRNO,WAREHOUSING AND RELEASE NUMBER,
입출고일자,WRHRLSDT,WAREHOUSING AND RELEASE DATE,입출고일
입출금,RCPPAY,RECEIPTS PAY,
입출항,PRTAKENT,PORT AND TAKE ENTRY,
입통문,ENGPS,ENTRANCE GATE FOR PASSAGE,
입퇴원,EDHSPT,ENTER AND DISCHARGE HOSPITAL,
입퇴창,SITODPT,SETTING IN DEPOT AND TAKING OUT OF DEPOT,
입학,ENTRSCHL,ENTRANCE INTO A SCHOOL,
입학일자,ENTSCHLDT,ENTRANCE INTO A SCHOOL DATE,입학일
입항,PRTENT,PORT ENTRY,
입항일자,PORENTDT,PORT ENTRY DATE,입항일
입항지,SHPPT,SHIPPED PORT,
입회,PRSNC,PRESENCE,
입회관,CTRSPVS,CONTRACT SUPERVISOR,
입후보,CANDIDACY,CANDIDACY,
잉여,SURPLS,SURPLUS,
잉여금,SUPLSFND,SURPLUS FUND,"잉여금액,잉여액"
잉여탄약,USLAMN,USELESS AMMUNITION,
잉여품,SRPRPT,SURPLUS PROPERTY,
자,LTTR,LETTER,
자,PSN,PERSON,인
자DODIC,CDODIC,CHILD DODIC,
자가,OWNHS,OWN HOUSE,
자가,SELF,SELF,
자가보험,SELFINSR,SELF-INSURANCE,
자가주사,SLFINJ,SELF-INJECTION,
자격,QLFC,QUALIFICATION,
자격발생상실구분코드,QCFDCD,QUALIFICATION OCCUR FORFEITURE DIVISION CODE,
자격정지,SUSPQUALI,SUSPENSION OF QUALIFICATION,
자격종목코드,QKCD,QUALIFICATION KIND CODE,
자격주,QLFSTK,QUALIFICATION STOCK,
자격증,LCNC,LICENCE,
자격증번호,LCNCNO,LICENCE NUMBER,
자격확인,QCFM,QUALIFICATION CONFIRMATION,
자격확인대상,QCFOBJ,QUALIFICATION CONFIRMATION,
자구행위,SELFHELP,SELF_HELP,
자국,NTLND,ONES NATIVE LAND,
자군,SLFMIL,SELF-MILITARY,
자궁,WOMB,WOMB,
자금,FND,FUNDS,
자금거래구분코드,FTDCD,FUNDS TRANSACTION DIVISION CODE,
자금계정,REQCTR,REQUISITION CONTROL,
자금계획,CRDPRG,CREDIT PROGRAM,
자금계획진행상태구분코드,CPPSDCD,CREDIT PROGRAM PROGRESS STATE DIVISION CODE,
자금관리보급제도,FMSS,FUND MANAGEMENT SUPPLY SYSTEM,
자금관리제도,FNDMS,FUND MANAGEMENT SYSTEM,
자금물량적용구분코드,FMQCD,FUND MATERIAL QUANTITY MANAGEMENT CONTROL CODE,
자금성질계정코드,FCACD,FUNDS CHARACTER ACCOUNT CODE,
자금세탁방지국제기구,FATF,FINANCIAL ACTION TASK FORCE ON MONEY LAUNDERING,
자금수입,CPNCM,CAPITAL INCOME,
자금예산,CPTALBUDGET,CAPITAL BUDGET,
자금원,SRCFND,SOURCE OF FUNDS,
자금원코드,SRCFNDCD,SOURCE OF FUNDS CODE,
자금이체,FNDTRSF,FUND TRANSFER,
