단어 명,물리 명,영문 명,금칙어
NBCRAMS,NBCRAMS,NUCLEAR BIOLOGICAL AND CHEMICAL REPORTING AND MODELING SOFTWARE,
NOT,NOT,NOT,
N표적,TGTN,TARGET N,
OCR,OCR,OPTICAL CHARACTER READER,
OCS,OCSYS,ORDER COMMUNICATION SYSTEM,
OCX,OCX,OBJECT LINKING AND EMBEDDING CONTROL EXTENSION,
OFF,OFF,OFF,
OLE개체,OLEI,OBJECT LINKING AND EMBEDDING INDIVIDUAL,
ON,ON,ON,
OSPF,OSPF,OPEN SHORTEST PATH FIRST,
P3C,P3C,PATROL AIRCRAFT-3C,
PAC-2,PAC2,PATRIOT ADVANCED CAPBILITY 2,
PAC-3,PAC3,PATRIOT ADVANCED CAPBILITY 3,
PACS,PACS,PICTURE ARCHIVING AND COMMUNICATION SYSTEM,
PARA번호,PARANO,PARA NUMBER,
PART자원,PTRSC,PART RESOURCE,
PCH,PCH,"PACKING, CRATING, HANDLING",
PDA,PDA,PERSONAL DIGITAL ASSISTANCE,
PERT,PERT,PROGRAM EVALUATION AND REVIEW TECHNIQUE,
PES,PES,POTENTIAL EXPLOSIVE SITE,
PIN번호,PINNO,PIN Number,
PLC,PWLVCV,POWER LEVEL CURVE,
PMESII,PMESII,POLITICAL MILITARY ECONOMIC SOCIAL INFRASTRUCTURE INFORMATION,
POD,POD,POD,
POL장비,POLEQ,PETROLEUM OIL LUBRICANT FOR EQUIPMENT,P.O.L장비
POP3,POP3,POST OFFICE PROTOCOL 3,
PPD,PPD,TUBERCUKIN SKIN TEST,
PRISM,PRISM,PRISM,
PROXY,PRXY,PROXY,
PSI,PSI,POUNDS PER SQUARE INCH,
PX,PX,POST EXCHANGE,
QR코드,QRCD,Quick Response Code,
Q코드구분코드,QCDDVSCD,Q CODE DIVISION CODE,
Q코드부호,QCDSGN,Q CODE SIGN,
RAAM,RAAM,REMOTE ANTI ARMOR MINE,
RAM,RAM,"RELIABILITY, AVAILABILITY, MAINTAINABILITY",
RFID,RFID,RADIO FREQUENCY IDENTIFICATION,
RGB,RGB,RED GREEN BLUE,
RGB색상번호,RGBCLNO,RGB COLOR TONE NUMBER,
ROTC,ROTC,RESERVE OFFICERS TRAINING CORPS,RT
RT박스,RTBOX,ARTILLERY BOX,RTBOX
SABSEL,SABSEL,SABRE SELECTOR,
SAMFILE,SAMFL,SEAUENTIAL ACCESS METHOD FILE,
SEMIS,SEMIS,SHIP ESTIMATED MOVEMENT INFORMATION SYSTEM,
SF,SF,SHIPS FILED,
SIDE수액,SIDIJ,SIDE INJECTION,
SID번호,SIDNO,SET ID NUMBER,
SMR부호,SMRS,SOURCE MAINTENANCE AND RECOVERABILITY SIGN,
SMS,SMS,SHORT MESSAGE SERVICE,
SMTP,SMTP,SIMPLE MAIL TRANSFER PROTOCOL,
SNOMED,SNOMED,SYSTEMATIZED NOMENCLATURE OF MEDICINE,
SNS,SNS,SOCIAL NETWORK SERVICE,
SOFA,SOFA,STATUS OF FORCES AGREEMENT,"한미행정협정,한/미행정협정,주한미군지휘협정,주둔군지위협정"
SOMS-B,SOMSB,SOMS-B,
SP번호,SPNO,SP NUMBER,
SQL,SQL,STRUCTURED QUERY LANGUAGE,
SWOT분석,SWOT,"STRENGTHS, WEAKNESSES, OPPORTUNITIES, THREATS ANALYSIS",
SW자원,SFTRSC,SOFTWARE RESOURCE,
T50,T50,T-50 AIRCRAFT,
TAV2S,TAV2S,TAV2S,
TBS,TBS,SEOUL TRAFFIC BROADCASTING SYSTEM,
TCPIP,TCPIP,TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL,
TGM,TGM,TERMINAL GUIDED MUNITION,
TLE,TLE,TWO LINE ELEMENT SET,
TN,TN,TAIL NUMBER,
TNS,TNS,TRANSPARENT NETWORK SUBSTRATE,
TNT폭약,TNT,TRINITRO TOLUENE,
TOPIS,TOPIS,TRANSPORT OPERATION AND INFORMATION SERVICE,
TPS830K,TPS830K,TPS-830K,
TRAY,TRAY,TRAY,
T박스,TBOX,T BOX,TBOX
UCC,UCC,USER CREATED CONTENTS,
UCMS보조속성구분코드,UCASSATRSCD,UCMS ASSISTANCE ATTRIBUTE SECTION CODE,
UNSPSC,UNSPSC,UNITED NATIONS STANDARD PRODUCTS AND SERVICE CLASSIFICATION,
UN국제생산물분류,UNCPC,UN CENTRAL PRODUCT CLASSIFICATON,
UN국제생산물분류코드,UNCPCCD,UN CENTRAL PRODUCT CLASSIFICATON CODE,
URI,URI,UNIFORM RESOURCE IDENTIFIER,
URL,URL,UNIFORM RESOURCE LOCATOR,
USN,USN,UBIQUITOUS SENSOR NETWORK,
UTMX좌표,UTMX,UNIVERSAL TRANSVERSE MERCATOR X COORDINATE SYSTEM,
UTMY좌표,UTMY,UNIVERSAL TRANSVERSE MERCATOR Y COORDINATE SYSTEM,
UTM좌표,UTM,UNIVERSAL TRANSVERSE MERCATOR,"UTM,지리좌표(UTM)"
U자,UTYP,U TYPE,유자
U자못,UNL,U NAIL,
U자철선코드,UTYPIWRCD,UTYP IRON WIRE CODE,
VAMOSC,VMOSC,VISIBILITY AND MANAGEMENT OF OPERATING AND SUPPORT COST,
VDRL,VDRL,VENEREAL DISEASE RESEARCH LABORATORY,
VO,VLOBJ,VALUE OBJECT,
VOD,VOD,VIDEO ON DEMAND,
VoIP,VOIP,Voice over Internet Protocol,
V표시용기,VIIST,V INDICATION INSTRUMENT,
WB,WB,WB,
WINJMEM,WINJMEM,WINDOWED JOINT MUNITION EFFECTIVENESS MANUAL,
WORKLIST,WKLST,WORK LIST,
WPAN,WPAN,WIRELESS PERSONAL AREA NETWORK,
WRSA탄약,WRSAAMN,WAR RESERVED STOCK FOR ALLIED AMMUNITION,
WSDL,WSDL,WEB SERVICES DEION LANGUAGE,
X-10년도,XYRM10,X-10 YEAR,"X-10,X-10년,Y-10,Y-10년,Y-10년도"
X-1년도,XYRM1,X-1 YEAR,"X-1,X-1년,Y-1,Y-1년,Y-1년도"
X-2년도,XYRM2,X-2 YEAR,"X-2,X-2년,Y-2,Y-2년,Y-2년도"
X-3년도,XYRM3,X-3 YEAR,"X-3,X-3년,Y-3,Y-3년,Y-3년도"
X-4년도,XYRM4,X-4 YEAR,"X-4,X-4년,Y-4,Y-4년,Y-4년도"
X-5년도,XYRM5,X-5 YEAR,"X-5,X-5년,Y-5,Y-5년,Y-5년도"
X-6년도,XYRM6,X-6 YEAR,"X-6,X-6년,Y-6,Y-6년,Y-6년도"
X-7년도,XYRM7,X-7 YEAR,"X-7,X-7년,Y-7,Y-7년,Y-7년도"
X-8년도,XYRM8,X-8 YEAR,"X-8,X-8년,Y-8,Y-8년,Y-8년도"
X-9년도,XYRM9,X-9 YEAR,"X-9,X-9년,Y-9,Y-9년,Y-9년도"
X1년도,XYR1,X1 YEAR,"X1,X1년,Y1,Y1년,Y1년도,X_1,기준년도1,X1년,Y1년"
X2년도,XYR2,X2 YEAR,"X2,X2년,Y2,Y2년,Y2년도,X_2,기준년도2,X2년,Y2년"
X3년도,XYR3,X3 YEAR,"X3,X3년,Y3,Y3년,Y3년도,X_3,기준년도3,Y3년"
X400,X400,X.400,
X4년도,XYR4,X4 YEAR,"X4,X4년,Y4,Y4년,Y4년도,X_4,기준년도4,Y4년"
X500,X500,X.500,
X5년도,XYR5,X5 YEAR,"X5,X5년,Y5,Y5년,Y5년도,X_5,기준년도5"
X6년도,XYR6,X6 YEAR,"X6,X6년,Y6,Y6년,Y6년도,X_6"
X7년도,XYR7,X7 YEAR,"X7,X7년,Y7,Y7년,Y7년도,X_7"
X8년도,XYR8,X8 YEAR,"X8,X8년,Y8,Y8년,Y8년도,X_8"
X9년도,XYR9,X9 YEAR,"X9,X9년,Y9,Y9년,Y9년도,X_9"
XML,XML,EXTENSIBLE MARKUP LANGUAGE,
XMS,XMS,Extension memory size,
XMX,XMX,Extension maximum memory size,
XSL,XSL,EXTENSIBLE STYLESHEET LANGUAGE,
XY좌표,XYCOORD,"X, Y COORDINATES",좌표XY
X년도,XYR,X YEAR,"Y년,X0,Y0,X0년,Y0년,기준연도,기준년도,Y0년도,Y년도,X년"
X좌표,XCOORD,X COORDINATES,좌표X
X축,XAX,X AXIS,
Y좌표,YCOORD,Y COORDINATES,좌표Y
Y축,YAX,Y AXIS,
Z좌표,ZCOORD,Z COORDINATES,좌표Z
Z축,ZAX,Z AXIS,
pdf,PDF,PDF,
가,TMP,TEMPORARY,
가감,ADDSBTR,ADDITION AND SUBTRACTION,
가격,PRC,PRICE,가
가격개정,PRCADJ,PRICE ADJUSTMENT,
가격및가용성자료,PNA,PRICE AND AVAILABILITY DATA,
가격자료,PRCLST,PRICE LIST,PRICELIST
가격정보,PRCSINF,PRICE AND COST INFORMATION,
가격조건코드,PRCNDCD,PRICE CONDITION CODE,
가격조사,PCI,PRICE AND COST INVESTIGATION,
가계,HSHACC,HOUSEHOLD ACCOUNT,
가계도,FMLTR,FAMILY TREE,
가계약,DRFCTR,DRAFT CONTRACT,
가계지원비,PMSHS,PAYMENT MADE TO SUPPORT HOUSEHOLD SPENDING,
가공,PRCSNG,PROCESSING,
가공비,PRCST,PROCESSING COSTS,
가교각,TMPBGPR,TEMPORARY BRIDGE PIER,
가군,GRPGA,GA GROUP,
가급,CLSGA,GA CLASS,
가능,PSBLT,POSSIBILITY,
가능성,PSBLTY,POSSIBILITY,
가능일자,PSBLTDT,POSSIBILITY DATE,가능일
가동,OPRTNG,OPERATING,
가동률,AVLRT,AVAILABLE RATE,가동율
가동탄약보급소,MASP,MOBILE AMMUNITION SUPPLY POINT,
가두,STRT,STREET,
가두판매,STRPDL,STREET PEDDLING,
가등기,PRSRGST,PROVISIONAL REGISTRATION,
가로,HRZNT,HORIZONTAL,횡
가로수,STTREE,STREET TREE,
가맹점,FRNCHS,FRANCHISE,
가명,FLSNM,FALSE NAME,
가반식,MVBTY,MOVABLE TYPE,
가발,WIG,WIG,
가변,VRABL,VARIABLENESS,
가변메시지포맷,VMF,VARIABLE MESSAGE FORMAT,VMF
가변주파수,VF,VARIABLE FREQUENCY,VF
가변차로,CVROD,CHANGEABLE VEHICULAR ROAD,
가변필드,VRFLD,VARIABLE FIELD,
가보존,TMPPSV,TEMPORARY PRESERVATION,
가분급부,DBN,DIVISIBLE BENEFIT,
가사,WSFS,WORDS OF A SONG,
가산,MTNST,MOUNTAINS AND STREAMS,
가산,ADTN,ADDITION,
가산금,ADDCHRG,ADDITIONAL CHARGES,
가산복무,ADDSVC,ADDITIONAL SERVICE,
가산수수료,ADDIFEE,ADDITIONAL FEE,
가산율,ADTNRT,ADDITION RATE,
가산점,ADDPNT,ADDITION POINT,
가상,VR,VIRTUAL,
가상적국,HES,HYPOTHETICAL ENEMY STATE,
가상적표적,ASHTR,ASSUMED HOSTILE TRACKS,
가상지휘소,VCP,VIRTUAL COMMAND POST,
가설,ERCT,ERECTION,
가설,TPCSTR,TEMPORARY CONSTRUCTION,
가속,ACLRTN,ACCELERATION,
가수,ADNUM,ADD NUMBER,
가수요,IMGDMD,IMAGINARY DEMAND,
가스,GAS,GAS,
가스발생기,GSGNR,GAS GENERATOR,"가스제너레이터,가스제네레이터"
가슴,BUST,BUST,
가슴둘레,CHSTCRCM,CHEST CIRCUMFERENCE,흉위
가습기,HMDFR,HUMIDIFIER,
가시,VSBLT,VISIBILITY,
가시광선,VSRAY,VISIBLE RAY,
가시선,LOS,LINE OF SIGHT,조준선
가시채널,VSBLCHN,VISIBLE CHANNEL,
가압,PRSR,PRESSURE,
가압류,PRVSZ,PROVISIONAL SEIZURE,
가액,VLPRC,VALUE PRICE,
가연성,INFM,INFLAMMABLE,
가옥,HS,HOUSE,
가외,EX,EXTRA,
가용,USEFL,USEFULNESS,
가용도,AVLBLT,AVAILABILITY,
가용량,AVLQNTY,AVAILABLE QUANTITY,
가용성,AVL,AVAILABLE,
가용액,AVLAMT,AVAILABLE AMOUNT,"가용금액,가용자금,가용자금액"
가용예산,AVBGT,AVAILABLE BUDGET,
가용요소구분코드,AVEMCLCD,AVAILABLE ELEMENT CLASSIFICATION CODE,
가용우회로,USBP,USEFULNESS BYPASSLANE,
가용자산,AVLAST,AVAILABLE ASSETS,
가용자산판단,AVATJG,AVAILABLE ASSET JUDGEMENT,
가운,GOWN,GOWN,
가위,SCSR,SCISSORS,
가위바위보,RPS,ROCK-PAPER-SCISSORS,
가을,AUTMN,AUTUMN,
가이드,GUIDE,GUIDE,
가입,ENTR,ENTRY,
가입률,ENTRRT,ENTRY RATE,가입율
가입비,SRBCT,SUBSCRIBE COST,
가입수수료,SSMMS,SUBSCRIBE COMMISSION,
가입유형,SSBYP,SUBSCRIBE TYPE,
가입일자,ENTRDT,ENTRY DATE,가입일
가입자내부식별자,IMEM,INTERNAL MEMBER,
가입자선로,SSCRN,SUBSCRIBER LINE,
가입제한,SSCBL,SUBSCRIBE LIMIT,
가입해지,SCBT,SUBSCRIBE TERMINATE,
가장,DSGS,DISGUISE,
가점,ADPNT,ADD POINT,
가정,ASMPT,ASSUMPTION,
가정환경,HOMEBG,A HOME BACKGROUND,
가져오기,BRNG,BRING,
가족,FMLY,FAMILY,
가족관계코드,FMLRLCD,FAMILY RELATIONSHIP CODE,
가족수당,FMLALW,FAMILY ALLOWANCE,
가족수당신청구분코드,FADCD,FAMILY ALLOWANCE APPLICATION DIVISION CODE,
가족수당신청상태코드,FASCD,FAMILY ALLOWANCE APPLICATION STATE CODE,
가족수당직업코드,FJCD,FAMILY ALLOWANCE JOB CODE,
가족여비,FMTRVEXP,FAMILY TRAVELING EXPENSES,
가족증감구분코드,FIDDCD,FAMILY INCREASE AND DECREASE DIVISION CODE,
가중,WGTNG,WEIGHTING,
가중이동평균,WMA,WEIGHTED MOVING AVERAGE,
가중처벌,AGRPNL,AGGRAVATED PENALTY,
가중치,WGT,WEIGHT,
가집행,PRSXCT,PROVISIONAL EXECUTION,
가집행선고,STVC,SENTENCE OF PROVISIONAL EXECUTION,
가처분,PRVDSP,PROVISIONAL DISPOSITION,
가청,AUDBLTY,AUDIBILITY,
가치,WRTH,WORTH,
가치관,OSV,ONE'S VALUE,
가치등급코드,WRTHCD,WORTH GRADE CODE,
가치평가,VALUAT,VALUATION,
가트,GATT,GATT,
가해자,HRMR,HARMER,
가혹행위,CRUEL,CRUEL,
각국,EVRCTR,EVERY COUNTRY,
각군,ECHARMY,EACH ARMY,
각급,ECHCLS,EACH CLASS,
각급기관,ENDNST,EVERY KIND OF INSTITUTION,
각도,ANG,ANGLE,각
각령,CBORD,CABINET ORDER,
각료,CNMSTR,CABINET MINISTER,
각목,SQRB,SQUARE BAR,
각서,WRTPRM,WRITTEN PROMISE,
각종,EVRKND,EVERY KIND,
각주,FTNT,FOOTNOTE,
각형,SQRSHP,SQUARE SHAPE,
각호,EVRDR,EVERY DOOR,
간,BTWN,BETWEEN,
간격,INTVL,INTERVAL,
간격극복자산유형코드,INTASSTYPCD,INTERVAL OVERCOME TYPE CODE,
간략,SMPLCT,SIMPLICITY,
간만,EBBFLW,THE EBB AND FLOW,
간만차,TDRG,TIDAL RANGE,
간병,NRSNG,NURSING,
간병인,CRGVR,CAREGIVER,
간부,PRCMB,PRINCIPAL MEMBER,
간부정례신체검사구분코드,PRCPHEXDVSCD,PRINCIPAL MEMBER PHYSICAL EXAMINATION DIVISION CODE,
간부정례신체검사판정코드,PRCPHEXJMTCD,PRINCIPAL MEMBER PHYSICAL EXAMINATION JUDGMENT CODE,
간사,ASSTADM,ASSISTANT ADMINISTRATOR,
간선도로,MNRD,MAIN ROAD,
간섭,INTRF,INTERFERENCE,
간소화,SMPLFC,SIMPLIFICATION,
간염,HEPATITIS,HEPATITIS,
간음,ADLTRY,ADULTERY,
간이,SIMPLCT,SIMPLICITY,
간이역,WAYSTN,WAY STATION,
간이인도,SMDVR,SUMMARY DELIVERY,
간장,SSAUC,SOY SAUCE,
간접,INDR,INDIRECT,
간접경비,INDEXP,INDIRECT EXPENSES,
간접노무비,INDLBCST,INDIRECT LABOR COST,간접노무비용
간접비,INDCST,INDIRECT COST,
간접이행금액,AMTINP,AMOUNT OF INDIRECT PERFORMANCE,간접이행금
간접재료비,INDMTCST,INDIRECT MATERIAL COST,간접재료비용
간접절충교역,INDOFS,INDIRECT OFFSET,
간조,ETIDE,EBB TIDE,
간주,REGARD,REGARD,
간질,EPLPSY,EPILEPSY,
간첩,SPY,SPY,
간행물,PRDCL,PERIODICAL,발간물
간호,NRSCR,NURSING CARE,
간호계획,NRSPLN,NURSING PLAN,
간호기록,NRSCRLG,NURSING CARE LOG,
간호문제,NRSPRBLM,NURSING PROBLEM,
간호사,NRS,NURSE,
간호일정,NUSCH,NURSING CARE SCHEDULE,
간호장교,NRSOFCR,NURSING OFFICER,
간호조무사,NSAID,NURSE AIDE,
간호처방,NUPRS,NURSING CARE PREION,
감가,RDPRC,REDUCTION IN PRICE,
감가상각,DPRC,DEPRECIATION,상각
감가상각누계액,AAOD,ACCUMULATED AMOUNT OF DEPRECIATION,"감가상각누계금액,감가상각누계금"
감가상각방법코드,DPMTHCD,DEPRECIATION METHOD CODE,
감가상각비,DPRCEXP,DEPRECIATION EXPENSE,"상각비,감가상각비용"
감가수정,PCRDCAMD,PRICE REDUCTION AMENDMENT,
감가액,AMTRD,AMOUNT OF REDUCTION,
감가율,RDRT,REDUCTION RATE,
감각,SNSTN,SENSATION,
감나무,PRSMMN,PERSIMMON,
감도,SNTVT,SENSITIVITY,
감독,DRTN,DIRECTION,
감독관,SPVSR,SUPERVISOR,
감독관업무보고,SPVBIZRPT,SUPERVISOR BUSINESS REPORT,
감독일자,DRTNDT,DIRECTION DATE,감독일
감리,AUDT,AUDIT,
감리관리,SPVMNGMT,SUPERVISION MANAGEMENT,
감마,GAMA,GAMMA,
감면,RXP,REDUCTION EXEMPTION,
감면구분코드,RXPDCD,REDUCTION EXEMPTION DIVISION CODE,
감면여부코드,RXPYNCD,REDUCTION EXEMPTION YES OR NO CODE,
감면처리코드,RXPPCD,REDUCTION EXEMPTION PROCESS CODE,
감모,DCRS,DECREASE,
감배,DIVRDC,REDUCTION OF DIVIDEND,
감봉,SLYRD,SALARY REDUCTION,
감사,AUDIT,AUDIT,
감사기관,ISPST,INSPECTION INSTITUTION,
감사실,AUDTOFC,AUDIT OFFICE,
감사원,BAI,BOARD OF AUDIT AND INSPECTION,
감사원소관코드,BAIJCD,BOARD OF AUDIT AND INSPECTION JURISDICTION CODE,
감사인,ADTOR,AUDITOR,
감사책임자,IPSPR,INSPECTION RESPONSIBLE PERSON,
감산,SBTN,SUBTRACTION,
감소,DECRS,DECREASE,
감소량,DCRSQTY,DECREASE QUANTITY,감소수량
감소액,DCRSAMT,DECREASE AMOUNT,"감소금액,감소금"
감속,DCEL,DECELERATION,
감손,DMNTN,DIMINUTION,
감손율,DCRSRT,DECREASE RATE,
감수,WLSBM,WILLING SUBMISSION,
감수성,SNSBLT,SENSIBILITY,
감시,SVNC,SURVEILLANCE,
감시구역,SVSCT,SURVEILLANCE SECTOR,
감시초소,GP,GUARD POST,"GP,초소"
감시초소번호,GPNO,GUARD POST NUMBER,
감압,DCMPRS,DECOMPRESSION,
감액,RDCT,REDUCTION,
감액산출신분구분코드,RCSCD,REDUCTION CALCULATION SOCIAL POSITION DIVISION CODE,
감액유형코드,RTCD,REDUCTION TYPE CODE,
감염,IFCTN,INFECTION,SEPTIC
감염상태,IFSTE,INFECTION STATE,
감염예방조치,IPRACT,INFECTION PREVENTION ACTION,
감염일자,IFCTNDT,INFECTION DATE,
감원,RDCFRC,REDUCTION IN FORCE,
감응,SENSOR,SENSOR,
감점,SBTPNT,SUBTRACT POINTS,
감정서,EXOPWRT,EXPERT OPINION IN WRITING,
감정증인,EXRTW,EXPERT WITNESS,
감정평가,APRSL,APPRAISAL,감정
감정평가기관,APRAGC,APPRAISAL AGENCY,감정평가원
감정평가액,APRSAMT,APPRAISAL AMOUNT,감정평가금액
감정평가일자,APPRDT,APPRAISAL DATE,"감정평가일,감정일자,감정일"
감지,SENS,SENSE,
감지기,SNSR,SENSOR,센서
감차,DCVHCL,DECREASING VEHICLES,
감찰,ISPTN,INSPECTION,
감찰참모,ISPSTF,INSPECTION STAFF,
감청,MNTRG,MONITORING,
감축,REDC,REDUCTION,
감편,RDORG,REDUCED ORGANIZATION,
감항,ARWRTHN,AIRWORTHINESS,
감항능력,SEAWRTHN,SEAWORTHINESS,
감항인증,AWRTHCTF,AIRWORTHINESS CERTIFICATION,
감항증명,ARTHCRT,AIRWORTHINESS CERTIFICATE,
갑,FRST,FIRST,
갑문,DCGT,DOCK GATE,도크게이트
갑반,FSTCLS,FIRST CLASS,
갑종사태,HHTFT,HIGHEST STATE OF ALERT,
갑판,DECK,DECK,데크
갑판번호,DECKNO,DECK NUMBER,
갑판상부적재,UPDKLOD,UPPERDECK LOADING,
갑판하부적재,DCKLD,DOWNDECK LOADING,
값,VAL,VALUE,VALUE
갓길,SHDRD,SHOULDER OF A ROAD,노견
강,RVR,RIVER,
강간,RAPE,RAPE,
강경,STRNG,STRONG,
강도,STRTH,STRENGTH,
강등,DGRDTN,DEGRADATION,
강력범죄,MAJCRM,MAJOR CRIME,
강매,FRPCH,FORCED PURCHASE,
강사,LCTR,LECTURER,
강서,GANGSEO,GANGSEO,
강설,SNW,SNOWING,
강설량,AMTSNW,AMOUNT OF SNOWING,
강수,PRCPT,PRECIPITATION,
강수강도,PRCINST,PRECIPITATION INTENSITY,
강수구분코드,PRCPTDVCD,PRECIPITATION DIVISION CODE,
강수량,AMTPRCPT,AMOUNT OF PRECIPITATION,
강수집중,PCTCNR,PRECIPITATION CONCENTRATION,
강습,CBTAST,COMBAT ASSAULT,
강습지원임무유형코드,CBATSPMSTYCD,COMBAT ASSAULT SUPPORT MISSION TYPE CODE,
강안,RVRSD,RIVERSIDE,
강약점,STWK,STRONG POINT(STRENGTH) AND WEAK POINT(WEAKNESS),
강우,RNFL,RAINFALL,
강우계,RNFLLMT,RAINFALL METER,
강우량,AMTRNFL,AMOUNT OF RAINFALL,
강원도,GWD,GANGWON-DO,강원
강원영동,GWYD,GANGWON YEONGDONG,
강의,LCT,LECTURE,
강의실,LCTRUM,LECTURE ROOM,
강임,DMTN,DEMOTION,
강점,SP,STRONG POINT,
강제,CPSN,COMPULSION,
강제보험,CPRY,COMPULSORY AUCTION,
강제이행,CPSPFMC,COMPULSORY PERFORMANCE,
강제전송,FRCTL,FORCE TELL,
강제전송표적,FRCTT,FORCE TELL TRACKS,
강제징수,CPRCLC,COMPULSORY COLLECTION,
강제처분,CPRSS,COMPULSORY DISPOSITION,
강제투표,CPSY,COMPULSORY VOTE,
강평,CRTQ,CRITIQUE,
강평서,CQDOC,CRITIQUE DOCUMENT,
강평일자,CRTQDT,CRITIQUE DATE,강평일
강평자,RVWR,REVIEWER,
강풍,STRWD,STRONG WIND,
강하,DIVE,DIVE,
강행,ENFRCMNT,ENFORCEMENT,
강행법,MTRYW,MANDATORY LAW,
강화,STRNGTH,STRENGTHENING,
강화운동,STREXE,STRENGTHENING EXERCISE,
개강,OPNCRS,OPENING A COURSE,
개구부,OPNNG,OPENING,개구
개년,YR,YEAR,
개념,CNCPT,CONCEPT,
개념연구,CCTRSCH,CONCEPT RESEARCH,
개도국,DEVCNTRY,DEVELOPING COUNTRY,
개략,OUTLN,OUTLINE,
개략계획서,OPDOC,OUTLINE PLAN DOCUMENT,
개량형재래식탄약,ICM,IMPROVED CONVENTIONAL MUNITION,
개명,RENAME,RENAME,
개문,OPENGT,OPENING THE GATE,
개발,DVLP,DEVELOPMENT,
개발관리기관코드,DMOCD,DEVELOPMENT MANAGEMENT ORGANIZATION CODE,
개발부품분류코드,DPCCD,DEVELOPMENT PARTS CLASSIFICATION CODE,
개발시험평가,DT,DEVELOPMENTAL TEST AND EVALUATION,
개발일자,DVLPDT,DEVELOPMENT DATE,개발일
개발자,DVLPER,DEVELOPER,
개발제한구역,GRBLT,GREENBELT,"녹지지역,그린벨트"
개발진행상태코드,DPSCD,DEVELOPMENT PROGRESS STATE CODE,
개발취소사유코드,DCRCD,DEVELOPMENT CANCELLATION REASON CODE,
개발형태코드,DSCD,DEVELOPMENT SHAPE CODE,
개별,SPRTLY,SEPARATELY,
개별법,SICM,SPECIFIC IDENTIFICATION OF COST METHOD,
개별소비세,IDVCSTX,INDIVIDUAL CONSUMPTION TAX,특별소비세
개봉,OPEN,OPEN,
개산,APRX,APPROXIMATE,
개산가격,BGPRC,BALLPARK FIGURE PRICE,
개산금,APRXVAL,APPROXIMATE VALUE,
개산급,APRE,ADVANCE PAYMENT BY ROUGH ESTIMATE,
개산원가,BRFPR,BALLPARK FIGURE COST PRICE,
개서,RWRT,REWRITING,
개선,IMPR,IMPROVEMENT,
개설,OPNG,OPENING,
개설은행,OPNGBNK,OPENING BANK,
개설의뢰인,APLCT,APPLICANT,
개설일자,OPNDT,OPENING DATE,개설일
개설자,FOUNDR,FOUNDER,
개성공단,GNTRX,GAESUNG INDUSTRIAL COMPLEX,
개소,OFCOPN,OFFICE OPENING,
개소,SPOT,SPOT,
개수,NUM,NUMBER,갯수
개수정비,CRI,CONVERSION REPAIR IMPROVEMENT,
개스킷,GSKT,GASKET,가스켓
개시,BGN,BEGIN,
개시,FTRSN,FIRST TRANSACTION,
개시일자,BGDT,BEGINNING DATE,개시일
개시재무제표,OFS,OPENING FINANCIAL STATEMENT,
개시전,BFTRT,BEFORE START,
개업,OPNBIZ,OPENING OF BUSINESS,
개업일자,OPNBIZDT,OPENING OF BUSINESS DATE,개업일
개요,SMMRY,SUMMARY,
개월,MONS,MONTHS,
개월수,MONSNB,MONTHS NUMBER,"월수,달수"
개인,INDV,INDIVIDUAL,
개인단량,PSQTY,PERSONAL SINGLE QUANTITY,
개인발명가,INDVDLINVNT,INDIVIDUAL INVENTOR,
개인용,PRVT,PRIVATE,
개인용컴퓨터,PC,PERSONAL COMPUTER,PC
개인자력,INDQNC,INDIVIDUAL QUALIFICATION AND CAREER,
개인장비,INDVEQ,INDIVIDUAL EQUIPMENT,
개인정보,PSNINF,PERSONAL INFORMATION,신상정보
개인참모,PSNSTF,PERSONAL STAFF,
개인화,PSNLZ,PERSONALIZE,
개인화기,PSNWP,PERSONAL WEAPON,
개인화기일련번호,SASNO,SMALL ARMS SERIAL NUMBER,
개인회생,INDRVL,INDIVIDUAL REVIVAL,
개인훈련,IDVTRN,INDIVIDUAL TRAINING,
개임,REAPOINT,REAPPOINTMENT,
개입,INTRVN,INTERVENTION,
개입권,ITNGH,INTERVENTION RIGHTS,
개입의무,ITRB,INTERVENTION OBLIGATION,
개장,RDCR,REDECORATION,
개전,DECLWR,DECLARING WAR,
개정,RVSN,REVISION,
개정안,RVSBIL,REVISED BILL,
개정일자,RVSNDT,REVISION DATE,개정일
개정판,RVSEDT,REVISED EDITION,
개정판번호,RENO,REVISED EDITION NUMBER,
개조,RMDL,REMODELING,
개조일자,RMDLDT,REMODELING DATE,개조일
개찰,OPB,OPENING OF THE BIDS,
개창식군수품조사,OIM,OPEN INVENTORY METHOD,
개척,BRCH,BREACH,
개천,BROOK,BROOK,
개체,INDVD,INDIVIDUAL,
개최,OPMT,OPEN A MEETING,
개최국가,HSTCNT,HOST COUNTRY,
개최시설,INSTIT,INSTITUTION,
개최시설상세정보,INSTUTDIF,INSTITUTION DETAIL INFORMATION,
개최지역,OPAR,OPEN AREA,
개최회담,OPTO,OPEN TOLK,
개칭,RETITL,RETITLE,
개통,OPENG,OPENING,
개통자,OPENER,OPENER,
개편,RORG,REORGANIZATION,
개폐,OPNSHT,OPENING AND SHUTTING,
개폐기,SWCH,SWITCH,스위치
개폐소,OPNCLS,OPENING AND CLOSING,
개표,XMNTCK,EXAMINATION OF TICKETS,
